Region,Campus
Accra,Accra Technical University 
Accra,Regent University
Accra,Kole-Bu Nursing /Midwifery 
Accra,University of Ghana
Accra,Nyaniba Health College (Kasoa)
Bibiani,College of Health (Anwiaso)
Bibiani,Nursing Training College
Bibiani,St. Johns of God Nursing Training  (Asafo)
Bibiani,Wiawso College Of Edu. (Wiawso)
Bibiani,Bibiani Health Science N.T.C
Bibiani,Bialamlinghter Col. of Edu. (Esam Debiso)
Wa,Dr. HLTU
Wa,Wa Nursing Training College 
Wa,UBIDS
Wa,Jirapa Nursing Traing College
Wa,Tumu College Of Education
Wa,Tumu Bole Nursing Training College 
Bolga,St. John Boscos College 
Bolga,Zuarungu N.T.C 
Bolga,Gbewaa Col. of Education-Pusiga 
Bolga,Gambaga College Of Education 
Bolga,C K Tedam
Bolga,Bolga Technical University of Education 
Bolga,Bolga  N.M.T.C 
Bolga,Nalerigu  N.T.C
Bolga,Navrongo Community Nursing 
Cape Coast,Cape Coast N T C 
Cape Coast,Cape Coast Technical University 
Cape Coast,U.C.C
Cape Coast,University of Winneba 
Cape Coast,Foso College of Education 
Cape Coast,Ola College of Education 
Cape Coast,University of Winneba Adjumako Campus 
Cape Coast,Komenda College of Education 
Cape Coast,Ankaful N.T.C 
Cape Coast,Twifo Praso N.T.C 
Goaso,Goaso Midwifery 
Goaso,Kwapong N.T.C 
Goaso,Dadiesoaba N.T.C 
Goaso,Anymasuso Nmtc
Ho,Ho Technical University 
Ho,U H A S 
Ho,Akatsi College of Education 
Ho,Ho N.T.C 
Ho,Amedgokpe College of Education 
Hohoe,Peki College of Education 
Hohoe,Dambia College of Education 
Hohoe,St. Francis College of Education 
Hohoe,Jaskam College of Education 
Hohoe,UHAS – Hohoe Campus 
Koforidua,Koforidua Technical University 
Koforidua,Kibi Presby College of Education 
Koforidua,Atibie N.T.C
Koforidua,St. Marys College of Education 
Koforidua,Akropong P.T.C 
Konongo,Agogo Nursing Training College 
Konongo,Agogo Presby Women’s College of Education 
Konongo,Presby University. Agogo Campus 
Kumasi South,Komfo Anokye Nursing Training College
Kumasi South,Kumasi Technical University 
Kumasi South,St. Louis College Of Education 
Kumasi South,KNUST
Kumasi South,Ammusted (UW-K) 
Kumasi North,Offinso College of Education 
Kumasi North,Wesley College of Education 
Kumasi North,Garden College of Education 
Madina,UPSA
Madina,Valley View University 
Madina,Accra College of Education 
Mampong,Mampong Technical College of Education 
Mampong,Attebubu College of Education 
Mampong,University of Education.  
Mampong,St. Monica’s College of Education 
Mampong,Mampong Midwifery 
Sunyani,University of Energy and Natural Resources 
Sunyani,Sunyani Technical University 
Sunyani,Catholic University College 
Sunyani,Dormaa Midwifery College 
Sunyani,College Of Health (Yamfo)
Sunyani,Commmunity Health Traninig Sch (Tanoso)
Sunyani,Nursing And Midwifery Training Sch.
Sunyani,Brekum N.T.C
Sunyani,Bechem College of Education 
Sunyani,Drobo N.T.C 
Sunyani,Dormaa UERN
Sunyani,Brekum College of Education 
Tarkwa,University Of Mines and Technology 
Tamale,Enchi College Of Education 
Tarkwa,Asankragwa Midwifery 
Tarkwa,Tarkwa Nursing And Midwifery 
Tamale,Tamale NMTC
Tamale,UDS Tamale Nyankpala
Tamale,School Of Hygiene Tamale
Tamale,Tamale College Of Education
Tamale,UDS Tamale Dungu
Tamale,Tamale Technical University (Tatu) 
Tamale,Bimbila College Of Education 
Takoradi,Takoradi Technical University 
Takoradi,UMAT – Takoradi 
Takoradi,Nurses Training School (Esiama)
Takoradi,Nurses Training School (Asada)
Takoradi,Holy Child College Of Education 
Takoradi,Takoradi Technical University New Site
Takoradi,Nursing And Midwifery Training School 
Techiman,Kintampo College of Health 
Techiman,Krobo NMTC
Techiman,Wenchi Methodist University 
Obuasi,Akrokerri college of educatio
Obuasi,Fomina N.T.C
Obuasi,Dunkwah N.T.C
Obuasi,KNUST (Obuasi)
Tema,Central university
Tema,Maritime university
Tema,Ada college of education 
